,School Name,Village,Coordinates,Demand
0,Kitchen Akshay Patra,Baroda City,"22.315718, 73.153501",x
1,Government School Baroda,Akota Village,"22.297335, 73.177502",234
2,Government School Baroda,NagarWada,"22.306992, 73.201968",249
3,Vasna Government School,Vasna Village,"22.298915, 73.143267",292
4,Government Technical School,Dandia Village,"22.300731, 73.195699",282
5,Munciple School,Gotri Road,"22.316800, 73.137167",255
6,Government Primary School,Chaani,"22.364484, 73.166573",229
7,Dr. Hansa Maheta Primary school,Vadsar,"22.255477, 73.172980",205
8,Sharad Nagar Government School,Tarsali,"22.260584, 73.214582",230
9,Lal bahadur Govt School,Bapod,"22.304111, 73.231676",295
10,Government School,Tandadja,"22.286498, 73.146103",292
11,Government School,Meera Nagar,"22.263849, 73.190541",237
12,Kendriya Vidyalaya No.2,Baroda City,"22.337040, 73.206522",242
13,Koyali Government School,Koyali,"22.362874, 73.112404",223
14,Government School,Gorwa,"22.331343, 73.161005",237
15,Adarsh Nivasi Shala for Girls,Manjalpur,"22.279260, 73.191752",281
16,Babajipura School No. 33,MakarPura,"22.242477, 73.200126",242
17,VMC School,Taif Nagar,"22.285895, 73.146328",275
18,Kendriya Vidyalaya No.1,Hari Road,"22.321057, 73.211514",260
19,Government School,Bapunagar,"22.320854, 73.219710",286
20,Kavidulla Kag Primary School.,,"22.322016, 73.225568",223
21,Baroda Public School,,"22.296923, 73.230374",278
22,G.N.V. High School,,"22.314711, 73.212522",286
23,Nutan Public School,,"22.347421, 73.201192",260
24,Raopura Corporation School No.1,,"22.309629, 73.199819",242
25,Gujarat Public School,,"22.287076, 73.161367",220
26,Apang Bal Gruh; PTB Hoste; Blind School; VRC Vadodara,,"22.334401, 73.183683",225
27,Jeevan Sadhana,,"22.296606, 73.203252",284
28,Cygnus World School,,"22.350279, 73.217671",286
29,Gujarat public school waghodia Rd.,,"22.302641, 73.312429",289
30,Gurunanak Public School,,"22.271386, 73.224796",258
31,Akshar Public School (APS),,"22.305536, 73.122830",260
32,GLOBAL PUBLIC SCHOOL,,"22.349839, 73.171925",257
33,Nishda School of design & aviation,,"22.312047, 73.166947",214
34,Maa Sharda Vidhyalay Hindi Medium school,,"22.312523, 73.168835",206
35,Aayal public School,,"22.349680, 73.196987",242
36,DPS Harni,,"22.373649, 73.219252",261
37,Shree Krishna Hindi Higher Secondary Vidyalaya,,"22.317446, 73.200249",236
38,St.Roosevelt Public School,,"22.310935, 73.224281",212
39,New Sunrise School (English & Gujarati Medium),,"22.303630, 73.226685",254
40,Happy Academy-GPSC PSI BANK TALATI SACHIVALAY CLERK SSC RAILWAY LIC GOVT coaching class in vadodara,,"22.312206, 73.181538",260
41,Pamdit Deen Dayal Upadhyay Prathmik Shala,Chhani Jakat Naka,"22.342467, 73.167015",229
42,Kabirnagar Primary School,Anand,"22.358459, 72.989478",237
43,Shah Education,Subhanpura,"22.325881, 73.154859",299
44,MK High School,Alkapuri,"22.314605, 73.170666",230
45,Navrachna International School Vadodara,Bhayli,"22.294369, 73.121157",254
46,Pratap high School,Syajigunj,"22.317824, 73.183475",255
47,Shannen The World School,Gotri,"22.312397, 73.132754",268
48,Billabong High International School,Royal Acres,"22.262552, 73.173397",240
49,Don Bosco High School,Manjalpur,"22.266855, 73.199920",218
50,New Era Senior Secondary School,Nizampura,"22.334681, 73.182336",224
51,Reliance Gujarati Medium School,Karadiya,"22.354484, 73.141423",246
52,"17 Tetra School, Air Force",Makarpura,"22.241442, 73.194936",293
53,Bright Day School,Harni,"22.336827, 73.217327",258
54,Rosary High School,Pratapgunj,"22.318316, 73.182756",239
55,St. Kabir School,Saiyed Vasna,"22.295571, 73.150450",246
56,St. Basil School,Atladara,"22.289588, 73.159094",235
57,D R Amin Memorial School,Gadapura,"22.304663, 73.155095",213
58,Jeevan Sadhana School,Karelibaug,"22.308189, 73.203816",290
59,Gujarat Public School Waghodiya Road,Kendranagar,"22.296032, 73.312449",236
60,Anand Vidya Vihar School,Hari Nagar,"22.314173, 73.154351",224
61,Dr. HEDGEVAR HINDI PRIMARCY SCHOOL,akota,"22.297525, 73.177467",276
62,vasna government school,vasna road,"22.301582, 73.143100",289
63,government primary school,Chhani,"22.362818, 73.167213",300
64,Lal bahadur Govt School,"Vohra Colony, Bapod","22.303267, 73.231664",268
65,Babajipura School No. 14,"  mujmahuda, akota ","22.284588, 73.173155",255
66,Babajipura School No. 33,makarpura,"22.242496, 73.199982",232
67,Adarsh Nivasi Shala ( Kanya),dev deep nagar,"22.315272, 73.158587",278
68,VMC School,taif nagar,"22.285771, 73.146386",240
69,Kendriya Vidyalaya,Harni road,"22.321190, 73.211362",200
70,Maa Sharda Vidhyalay Hindi Medium school,"Vadiwadi, Vadodara","22.312165, 73.167927",255
71,Vadsar Primary School,"Kalali, Vadodara","22.265572, 73.174223",220
72,Kelavani Trust Vidyalaya,"Akota, Vadodara","22.303801, 73.167241",296
73,Baroda High School,"Alkapuri, Vadodara","22.324061, 73.165972",290
74,Indu Nursing School,"Manjalpur, Vadodara","22.290046, 73.184041",258
75,Indulal Yagnik Primary School,"Warasiya, Vadodara","22.326758, 73.212858",208
76,Sri Sri Ravishankar Balmandir,"Karelibaugh, Vadodara","22.331982, 73.214777",275
77,Maharani Girls High School,"Mandvi, Vadodara","22.302760, 73.201911",295
78,Ketan Bnhsmbhatt,"Sayajiganj, Vadodara","22.307221, 73.181194",259
79,Karan Public School,"Subhanpura, Vadodara","22.320077, 73.154253",218
80,Sardar Vinay Mandir,"Kevdabaug, Vadodara","22.294986, 73.199860",203
81,Gujarat Public School,"Wagodiya, Vadodara","22.296180, 73.312466",270
82,Lions Blind Girls School,"Pratap Nagar, Vadodara","22.283549, 73.205367",201
83,C H Vidhyalaya,"Gotri, Vadodara","22.319963, 73.146246",211
84,Ambe School,"Manjalpur, Vadodara","22.264535, 73.181977",238
85,Vandana Vidhyalaya,"Jakat Naka, Vadodara","22.300359, 73.241241",263
86,Jawahar Navoday Vidhyalaya,"Wadi, Vadodara","22.296469, 73.211518",244
87,Lal Bahadur Shashtri School,"Karelibaugh, Vadodara","22.320147, 73.210738",235
88,Disha Charitable Trust,"Alkapuri, Vadodara","22.308870, 73.175445",270
